restaurant_name,address,rating,page_url,top_7_dishes
Minh Mèo - Cơm Tấm Đêm,"36 Vườn Lài, P. Tân Thành, Tân Phú, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/minh-meo-com-tam-dem,Cơm Thêm | Cơm sườn ốp la | Cơm sườn bì chả | Cơm sườn | Món thêm | Cơm gà nướng | Ba  rọi  nướng
Hàu Nướng Mr Gờ - Tây Thạnh,"227A Tây Thạnh, P. Tây Thạnh, Tân Phú, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/hau-nuong-mr-go-tay-thanh,Hàu nướng mỡ hành | Hàu phô mai | Hàu mù tạt | Hàu nướng mọi | Hàu nướng bơ tỏi | Hàu nướng tiêu xanh | Hàu sốt Thái
Nhẹ Tênh Coffee & Tea - Lê Văn Lương,"552 Lê Văn Lương, P. Tân Phong, Quận 7, TP. HCM",5.0,https://shopeefood.vn/ho-chi-minh/nhe-tenh-coffee-tea-le-van-luong,HOTLINE HỖ TRỢ MỌI VẤN ĐỀN LIÊN QUAN ĐẾN SẢN PHẨM & DỊCH VỤ 0708927799 | Cacao Muối | Trà Lài Macchiato | Café Muối | Phin Sữa Đá | Expresso sữa (cf sữa pha máy) | Café Bạc Hà
Ăn Vặt Cá Viên Chiên Mắm Tỏi Mẹ Cá - Quốc Lộ 13,"204/12A1 Quốc Lộ 13, P. 26, Bình Thạnh, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/an-vat-ca-vien-chien-mam-toi-me-ca-quoc-lo-13,
Chè Thái Biển Ngọc - Võ Oanh,"1/3 Võ Oanh, P. 25, Bình Thạnh, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/che-thai-bien-ngoc-vo-oanh,Chè Thái Sầu Riêng | Chè Thái thêm Sầu Riêng | Chè Thái không Sầu Riêng | Chè Đậu Thập Cẩm Sữa Dừa | Chè Đậu Đỏ Sữa Dừa | Chè Đậu Đen Sữa Dừa | Chè bắp
Thiện Nhân - Gà Quay Gà Nướng Cơm Lam,"1/18 Trần Văn Mười, Ấp 2, X. Xuân Thới Sơn, Hóc Môn, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/thien-nhan-ga-quay-ga-nuong-com-lam,
Tensho - Cơm Obento - Tân Khai,"24 Tân Khai, P. 4, Tân Bình, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/tensho-com-obento-tan-khai,Combo Obento trứng cuộn & gà xốt Teriyaki + súp | Combo bento full ( bento + súp + trà tắc 360ml) | Combo Obento ba rọi kim châm+ Trà Tắc | Combo chốt hạ | Obento Trứng Cuộn & Gà Teriyaki Salad | Obento Ba Rọi Cuộn Nấm Kim Châm | Obento Bò Gyudon
Bánh Tráng Trộn Chị Tuyết 2 - Bánh Tráng Cuốn - Nguyễn Trãi,"245/69/7 Nguyễn Trãi, P. Nguyễn Cư Trinh, Quận 1, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/banh-trang-tron-chi-tuyet-2-banh-trang-cuon-nguyen-trai,Bánh tráng cuốn | Bánh tráng trộn | Bánh tráng bơ mỡ hành | Bánh tráng trộn sate muối bò | Bánh tráng trộn sate bò đen | Bánh tráng chấm lòng đào | Bánh tráng cuốn
Kiến Gia - Cá Viên Chiên - Ấp Tam Đông,"112/4F Tổ 93 Ấp Tam Đông, Hóc Môn, TP. HCM",5.0,https://shopeefood.vn/ho-chi-minh/kien-gia-ca-vien-chien-ap-tam-dong.x0jcj9,"[SUPER DEAL] Cá Viên Chiên | [Thông Báo] Sốp vẫn giữ nguyên giá, mặc kệ thuế :))) | [Mustry] Trà Tắc Ngon Điên! | [COMBO] Chiên Nhỏ 1 | [COMBO] Cá Viên Chiên Lớn Tá Lả | [COMBO] Chiên Nhỏ 3 | [COMBO] Chiên Nhỏ 2"
Bánh Kem Dâu Tây - Quang Trung,"1/32 Quang Trung, TT. Hóc Môn, Hóc Môn, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/banh-kem-dau-tay-quang-trung,Bánh kem bắp mini trái cây size14 | Bánh kem bắp phô mai trái cây tươi sz18 | Bánh kem bắp mini dâu tây đẹp sz16 | Bánh kem bắp mini trái cây nhiệt đới sz14 | Bánh kem mini trái cây sz14 | Bánh kem mini kem chảy việt quất sz14 | Bánh kem mini dâu tây đẹp sz16
Thành Đạt - Hủ Tiếu Nam Vang - 22C Nguyễn Hữu Cầu,"22C Nguyễn Hữu Cầu, P. Tân Định, Quận 1, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/thanh-dat-hu-tieu-nam-vang-22c-nguyen-huu-cau,Hủ Tiếu Nam Vang Thành Đạt (Khô) | Hủ Tiếu Nam Vang Thành Đạt (Nước) | 01 Hủ Tiếu Nam Vang Thập Cẩm + 01 Hủ Tiếu Nam Vang Lấy Xương | COMBO Hủ Tiếu Nam Vang + Nước Tự Chọn | COMBO: 02 Hủ Tiếu Nam Vang + 02 Sâm Lạnh | Hủ Tiếu Nam Vang ĐẶC BIỆT Có Xương | Hủ Tiếu Mì Lấy Xương
LEN CAJUN - HẢI SẢN XỐT CAJUN - Xô Viết Nghệ Tĩnh,"886/33 Xô Viết Nghệ Tĩnh, P. 25, Bình Thạnh, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/len-cajun-hai-san-xot-cajun-xo-viet-nghe-tinh,Combo C1 Thịt càng cua | Combo C6-Tôm hùm đất | S1C-Set 200g thịt càng cua nhỏ bóc sẵn | S2C - Set 350g thịt càng cua nhỏ bóc sẵn | Set 300g tôm xông muối (9-12 con) | Set 500g chân cua tuyết | Set 350g thịt càng cua size khủng
Oh Tea - Trà Sữa & Bánh Tráng - Nguyễn Văn Nghi,"362 Nguyễn Văn Nghi, P. 7, Gò Vấp, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/oh-tea-tra-sua-banh-trang-nguyen-van-nghi,TRÀ SỮA PHÔ MAI TƯƠI | Trà sữa truyền thống | Trà tắc Thái đỏ hạt chia | Trà tắc Thái xanh hạt chia | Hồng trà OH TEA | Trà Đào | Trà Vải
Bò Né 3 Ngon - Bò Quanh Lửa Hồng - 116 Tây Thạnh,"116C Tây Thạnh, P. Tây Thạnh, Tân Phú, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/bo-ne-3-ngon-bo-quanh-lua-hong-116-tay-thanh,Combo Bò Né Đặc Biệt + Coca | Combo Bò Né Truyền Thống + Coca | Bò lúc lắc nhỏ | Bò Lúc Lắc Mini Thơm Ngon | Bò Lúc lắc lớn | Bò Lúc lắc trung | Bò né truyền thống
Ci Cha - Trà Sữa Hongkong - Ung Văn Khiêm,"266 Ung Văn Khiêm, P. 25, Bình Thạnh, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/ci-cha-tra-sua-hongkong-ung-van-khiem,Trà Lài Mật ong 3q | Trà Tắc  Xí Muội Trân Châu Trắng | Trà sữa truyền thống | Hồng Trà Ủ Lạnh | Trà sữa Oolong Cicha | Hồng trà sữa Cicha | Trà sữa Matcha
Cháo Ếch Geylang A Bảo - Phạm Văn Đồng,"81 Phạm Văn Đồng, P. 3, Gò Vấp, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/chao-ech-geylang-a-bao-pham-van-dong,Cháo ếch phần 1 con | Cháo ếch phần 3 con | Cháo ếch phần 1 con | Cháo ếch phần 2 con | Đĩa rau củ | Bánh mỳ | Cháo ếch phần 3 con
The Coffee Bean & Tea Leaf - Nguyễn Huệ,"101 Nguyễn Huệ, P. Bến Nghé, Quận 1, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/the-coffee-bean-tea-leaf-nguyen-hue,Combo 3 Ly đồng giá 99k (size R) | WHITE COFFEE (ICED) | CARAMEL MACCHIATO (ICED) | CARAMEL MACCHIATO (HOT) | BLACK COFFEE (ICED) | AMERICANO (ICED) | CAPPUCCINO (HOT )
BÁNH TRÁNG CÔ SÁU,"33 Lê Ngã, Tân Phú, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/banh-trang-co-sau,Trà Dâu Tằm-700ml | Trà Tắc Khổng Lồ | Nước sâm dòi thân tím bổ phổi (Nhà làm) | Trà Dâu Tằm-700ml | Trà Mãng Cầu-ly 700ml | Sữa chua Dâu Tằm - Ly 700ml | Trà Nhãn Ly 700ml
CƠM TẤM 365 - Quận 1,"194 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/com-tam-365-quan-1,Housemade Ice Tea | Trà đá Lớn 700ml | Cơm Tấm Long Xuyên Nâng Cao | Cơm Tấm Long Xuyên Cơ Bản | Cơm Tấm Long Xuyên Đặc Biệt 365 | Cơm Sườn Trứng | Grilled Pork Chop + Fried Egg | Cơm Tấm Sườn 365 | Grilled pork chop Com Tam | Cơm Sườn Bì Chả | Grilled Pork Chop + Shredded Pork Skin+ Steamed Egg Meatloaf
Xe Trà Hẻm 55 - Nguyễn Văn Công,"55/122 Nguyễn Văn Công, P. 3, Gò Vấp, TP. HCM",5.0,https://shopeefood.vn/ho-chi-minh/xe-tra-hem-55-nguyen-van-cong,
Hoành Thánh Thịt Bảo Minh - Bà Hom,"269/12B/16 Bà Hom, P. 13, Quận 6, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/hoanh-thanh-thit-bao-minh-ba-hom,BÁNH CANH THẬP CẨM | HỦ TIẾU MÌ HOÀNH THÁNH THỊT | Hủ Tiếu (dai) Phèo | Mì Gói Bò Viên | HOÀNH THÁNH THỊT | Hủ Tiếu Mì Phèo | Mì Gói Thập Cẩm
Xôi Xéo Chang Béo - CMT8,"462/2/11 Cách Mạng Tháng 8 (Đến Số 462/15 Thì Quẹo Phải), P. 11, Quận 3, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/xoi-xeo-chang-beo-cmt8,Xôi chay | Xôi xéo Chả mỡ | Xôi xéo ruốc (chà bông) | Xôi chay | Xôi xéo Thịt kho tàu | Xôi xéo Pate | Xôi xéo Lạp xưởng
Tiệm Ăn HongKong Anh Ba - Phạm Văn Đồng,"61 Phạm Văn Đồng, P. Hiệp Bình Chánh, Thành Phố Thủ Đức, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/tiem-an-hongkong-anh-ba-pham-van-dong,Sủi Cảo Sốt Dầu Hào | Sủi Cảo Chiên | Chân Gà Hấp Tàu Xì | Sủi Cảo Hấp | Combo 10 viên Dimsum thập cẩm | Combo thập cẩm 5 viên | Há cảo tôm 5 viên
BaBo - Cháo Ếch & Súp Bào Ngư,"162/4 Nguyễn Thái Sơn, P. 4, Gò Vấp, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/babo-chao-ech-sup-bao-ngu,4 Ếch Singapore + 2 Cháo + 1 Coca Lon | 4 Ếch Sate Cay + 2 Cháo + 1 Coca Lon | 4 Ếch Sệt Bơ Tỏi + 2 Bánh Mì + 1 Coca Lon | 2 Ếch Singapore + 1 Cháo sánh dẻo | 1 Ếch Singapore + 1 Cháo sánh dẻo | 2 Ếch Sa Tế Cay + 1 Cháo sánh dẻo | 2 Ếch Sệt Bơ Tỏi + 1 Bánh Mì
LiLi Cake - Nguyễn Thượng Hiền,"102 Nguyễn Thượng Hiền, P. 5, Quận 3, TP. HCM",0.0,https://shopeefood.vn/ho-chi-minh/lili-cake-nguyen-thuong-hien,TIRAMISU ĐẬP VỊ CACAO MASCARPONE | TIRAMISU ĐẬP VỊ TRÀ XANH MASCARPONE | BÁNH KEM BẮP SIZE NHỎ 14CM | BÁNH KEM BẮP SIZE TO 18CCM | BÁNH KEM BẮP SIZE BỰ 20CM | BÁNH KEM BẮP SIZE VỪA 16CM | BÁNH KEM HÀN QUỐC XINH XẮN SIZE 12
Kem Bơ - Trái Cây Tô 251 - Đoàn Văn Bơ,"516 Đoàn Văn Bơ, P. 14, Quận 4, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/kem-bo-trai-cay-to-251-doan-van-bo,Mì - Burger - Nui Tự Chọn 1 Món | Trà Trái Cây 251 Tự Chọn | Nước Ép 251 Tự Chọn | Ăn Vặt 251 Tự Chọn | Sinh Tố 251 Tự Chọn | Trái Cây Tự Chọn | Kem Bơ Dừa (Kem Bơ Đà Lạt)
Cơm Tấm Long Xuyên - Q1 Nguyễn Thái Học,"194 Nguyễn Thái Học, P. Cầu Ông Lãnh, Quận 1, TP. HCM",0.0,https://shopeefood.vn/ho-chi-minh/com-tam-long-xuyen-q1-nguyen-thai-hoc,Cơm Tấm Long Xuyên Nâng Cao (+ Lạp xưởng) | Cơm Tấm Sườn Bì Chả | Bún Thịt Nướng Đầy Đủ | Cơm Tấm Long Xuyên Nâng Cao (+ Lạp xưởng) | Cơm Tấm Long Xuyên Cơ bản | Long Xuyen Comtam Style | CƠM TẤM LONG XUYÊN ĐẶC BIỆT 365 | Cơm Tấm Sườn Ốp La
Trà Sữa Nhật Bản Kokoro - Lê Văn Lương,"163 Lê Văn Lương, Xã Phước Kiển, Nhà Bè, TP. HCM",4.5,https://shopeefood.vn/ho-chi-minh/tra-sua-nhat-ban-kokoro-le-van-luong,Trà Sữa Hoa Anh Đào | Trà Dâu | Trà Lài Tứ Quý Mãng Cầu | Trà Sữa Olong Khoai Môn Tươi | Trà Sữa Kem Trứng Nướng Nhật Bản | Trà Cherry Long Nhãn | Trà Táo Xanh Nha Đam
